alert_id,customer_id,analyst_id,typology,alert_status,risk_score,alert_amount_inr,alert_gen_date,alert_closure_date,days_to_close,sla_days,sla_breached,alert_year,alert_month,alert_quarter,year_month,alert_source,jurisdiction_flag,str_reference,escalated_to_mlro,account_type,region,city,income_range,customer_risk_rating
ALT0000001,CUS001123,ANL015,Suspected Mule Account,True Positive — No STR,65.38,101142435.73,2022-05-21,2022-06-05,15.0,20,0.0,2022,5,Q2,2022-05,Peer Comparison Model,,,0,Current,Central,Raipur,5L-10L,Medium
ALT0000002,CUS001886,ANL010,Unusual Cash Activity,False Positive,81.59,28306.61,2023-04-16,2023-04-23,7.0,15,0.0,2023,4,Q2,2023-04,Rule-Based Engine,,,0,Savings,East,Guwahati,10L-25L,Medium
ALT0000003,CUS000814,ANL004,Shell Company Activity,True Positive — STR Filed,44.23,539245.43,2024-02-14,2024-02-16,2.0,10,0.0,2024,2,Q1,2024-02,Manual Referral,,STR-2024-7932,0,Savings,Central,Bhopal,10L-25L,Low
ALT0000004,CUS000336,ANL002,PEP-Related Transaction,Under Investigation,27.8,143095.67,2024-02-29,,,10,,2024,2,Q1,2024-02,Rule-Based Engine,,,0,Current,East,Patna,10L-25L,Medium
ALT0000005,CUS000002,ANL003,Rapid Fund Movement,False Positive,29.37,5439.61,2022-09-28,2022-10-08,10.0,10,0.0,2022,9,Q3,2022-09,Peer Comparison Model,,,0,NRO,North,Lucknow,2L-5L,Medium
ALT0000006,CUS001331,ANL019,PEP-Related Transaction,True Positive — STR Filed,27.93,123985.68,2022-08-11,2022-09-09,29.0,30,0.0,2022,8,Q3,2022-08,ML Anomaly Model,,STR-2022-4822,0,Savings,Central,Gwalior,2L-5L,Medium
ALT0000007,CUS001290,ANL017,Round-Tripping,True Positive — STR Filed,56.46,220826.24,2022-02-03,2022-02-25,22.0,20,1.0,2022,2,Q1,2022-02,Watchlist Match,,STR-2022-6610,0,NRE,Central,Jabalpur,10L-25L,Low
ALT0000008,CUS000618,ANL006,Suspected Mule Account,True Positive — STR Filed,48.0,688182.98,2023-02-19,2023-02-23,4.0,10,0.0,2023,2,Q1,2023-02,Rule-Based Engine,,STR-2023-4458,0,Overdraft,West,Nagpur,2L-5L,Low
ALT0000009,CUS001013,ANL012,PEP-Related Transaction,True Positive — No STR,87.64,152090.7,2024-12-06,2024-12-07,1.0,15,0.0,2024,12,Q4,2024-12,Rule-Based Engine,,,0,Savings,North,Amritsar,2L-5L,Low
ALT0000010,CUS000759,ANL019,Structuring / Smurfing,False Positive,62.65,770874.51,2024-10-29,2024-11-23,25.0,30,0.0,2024,10,Q4,2024-10,Peer Comparison Model,,,0,Savings,Central,Jabalpur,>50L,Low
ALT0000011,CUS000360,ANL013,Shell Company Activity,False Positive,64.76,619874.1,2024-05-09,2024-05-25,16.0,15,1.0,2024,5,Q2,2024-05,Watchlist Match,,,0,Current,West,Surat,5L-10L,Low
ALT0000012,CUS001989,ANL015,High-Risk Jurisdiction Transfer,False Positive,86.91,64567.89,2022-11-03,2022-11-22,19.0,20,0.0,2022,11,Q4,2022-11,Watchlist Match,British Virgin Islands,,0,NRE,East,Kolkata,10L-25L,Low
ALT0000013,CUS001477,ANL016,Structuring / Smurfing,False Positive,79.28,20561.37,2022-07-17,2022-07-24,7.0,20,0.0,2022,7,Q3,2022-07,Manual Referral,,,0,Savings,North,Lucknow,5L-10L,Very High
ALT0000014,CUS001036,ANL017,Shell Company Activity,Under Investigation,37.61,1016099.21,2022-12-30,,,20,,2022,12,Q4,2022-12,Peer Comparison Model,,,0,Savings,Central,Indore,10L-25L,Medium
ALT0000015,CUS000522,ANL008,Unusual Cash Activity,Pending Review,83.56,136008.17,2024-09-01,,,10,,2024,9,Q3,2024-09,ML Anomaly Model,,,0,Savings,West,Mumbai,2L-5L,Low
ALT0000016,CUS001254,ANL013,High-Risk Jurisdiction Transfer,Under Investigation,55.34,193336.75,2022-03-21,,,15,,2022,3,Q1,2022-03,Rule-Based Engine,Hong Kong,,0,Current,South,Kochi,25L-50L,Low
ALT0000017,CUS001820,ANL008,Structuring / Smurfing,True Positive — No STR,79.1,98955.22,2024-12-24,2024-12-31,7.0,10,0.0,2024,12,Q4,2024-12,Watchlist Match,,,0,Savings,North,Lucknow,5L-10L,Low
ALT0000018,CUS001626,ANL013,Unusual Cash Activity,Pending Review,44.03,243424.13,2024-10-27,,,15,,2024,10,Q4,2024-10,Rule-Based Engine,,,0,Overdraft,Central,Gwalior,5L-10L,Low
ALT0000019,CUS001608,ANL012,Trade-Based Money Laundering,False Positive,64.11,1089739.65,2022-08-29,2022-09-16,18.0,15,1.0,2022,8,Q3,2022-08,Watchlist Match,,,0,Overdraft,North,Delhi,5L-10L,Medium
ALT0000020,CUS000556,ANL011,Shell Company Activity,Under Investigation,46.25,1815.1,2022-07-10,,,15,,2022,7,Q3,2022-07,ML Anomaly Model,,,0,Savings,East,Bhubaneswar,10L-25L,Medium
ALT0000021,CUS000555,ANL004,Rapid Fund Movement,False Positive,33.9,25253.42,2024-09-14,2024-09-19,5.0,10,0.0,2024,9,Q3,2024-09,Watchlist Match,,,0,Savings,East,Guwahati,10L-25L,Low
ALT0000022,CUS001640,ANL019,PEP-Related Transaction,True Positive — No STR,75.01,189083.65,2022-09-24,2022-10-18,24.0,30,0.0,2022,9,Q3,2022-09,Watchlist Match,,,0,Current,East,Ranchi,<2L,Low
ALT0000023,CUS000978,ANL007,Dormant Account Reactivation,False Positive,10.16,1021640.66,2022-01-03,2022-01-04,1.0,10,0.0,2022,1,Q1,2022-01,Peer Comparison Model,,,0,Current,East,Kolkata,10L-25L,Medium
ALT0000024,CUS001723,ANL011,Dormant Account Reactivation,False Positive,0.49,76547.08,2024-06-02,2024-06-18,16.0,15,1.0,2024,6,Q2,2024-06,ML Anomaly Model,,,0,NRO,Central,Gwalior,<2L,Medium
ALT0000025,CUS001857,ANL008,Round-Tripping,True Positive — STR Filed,47.54,17463.66,2024-12-05,2024-12-10,5.0,10,0.0,2024,12,Q4,2024-12,Rule-Based Engine,,STR-2024-9863,0,Current,Central,Indore,5L-10L,Low
ALT0000026,CUS001950,ANL013,Unusual Cash Activity,Escalated to MLRO,32.22,1179660.41,2024-05-11,2024-05-23,12.0,15,0.0,2024,5,Q2,2024-05,Manual Referral,,,1,NRO,Central,Bhopal,2L-5L,Low
ALT0000027,CUS001776,ANL002,PEP-Related Transaction,Under Investigation,32.93,3403964.68,2024-01-29,,,10,,2024,1,Q1,2024-01,Manual Referral,,,0,Savings,North,Amritsar,<2L,Medium
ALT0000028,CUS001802,ANL013,Dormant Account Reactivation,Pending Review,98.49,348400.18,2022-03-30,,,15,,2022,3,Q1,2022-03,Rule-Based Engine,,,0,Current,North,Chandigarh,<2L,Low
ALT0000029,CUS001399,ANL003,Structuring / Smurfing,False Positive,77.07,80167.7,2024-12-21,2025-01-01,11.0,10,1.0,2024,12,Q4,2024-12,Rule-Based Engine,,,0,Savings,East,Guwahati,5L-10L,Medium
ALT0000030,CUS001950,ANL011,Shell Company Activity,False Positive,41.53,103430.58,2024-05-28,2024-05-31,3.0,15,0.0,2024,5,Q2,2024-05,Manual Referral,,,0,NRO,Central,Bhopal,2L-5L,Low
ALT0000031,CUS000014,ANL018,Trade-Based Money Laundering,True Positive — STR Filed,25.24,1359879.53,2023-04-15,2023-05-11,26.0,20,1.0,2023,4,Q2,2023-04,Manual Referral,,STR-2023-9425,0,Current,North,Jaipur,5L-10L,Low
ALT0000032,CUS001725,ANL003,Shell Company Activity,False Positive,4.69,1020059.72,2024-09-14,2024-09-15,1.0,10,0.0,2024,9,Q3,2024-09,Manual Referral,,,0,Current,Central,Jabalpur,25L-50L,Low
ALT0000033,CUS001856,ANL007,Shell Company Activity,True Positive — STR Filed,83.22,142970.07,2024-02-20,2024-03-04,13.0,10,1.0,2024,2,Q1,2024-02,Manual Referral,,STR-2024-1839,0,NRO,West,Ahmedabad,5L-10L,Medium
ALT0000034,CUS001217,ANL018,PEP-Related Transaction,Under Investigation,85.27,15131.76,2023-12-19,,,20,,2023,12,Q4,2023-12,Watchlist Match,,,0,Savings,Central,Bhopal,5L-10L,Medium
ALT0000035,CUS001731,ANL007,Shell Company Activity,False Positive,26.37,306727.78,2022-07-20,2022-07-21,1.0,10,0.0,2022,7,Q3,2022-07,Peer Comparison Model,,,0,NRO,North,Lucknow,5L-10L,Low
ALT0000036,CUS000436,ANL016,Suspected Mule Account,True Positive — STR Filed,62.81,2986.53,2024-05-21,2024-06-06,16.0,20,0.0,2024,5,Q2,2024-05,Watchlist Match,,STR-2024-6944,0,Savings,South,Kochi,5L-10L,Low
ALT0000037,CUS001099,ANL014,Suspected Mule Account,Escalated to MLRO,12.64,643294.41,2022-10-02,2022-10-07,5.0,15,0.0,2022,10,Q4,2022-10,Rule-Based Engine,,,1,Savings,West,Surat,2L-5L,Very High
ALT0000038,CUS000181,ANL017,PEP-Related Transaction,Under Investigation,54.7,20146.25,2023-06-06,,,20,,2023,6,Q2,2023-06,ML Anomaly Model,,,0,Savings,North,Delhi,5L-10L,Low
ALT0000039,CUS001007,ANL007,Dormant Account Reactivation,False Positive,72.72,2190.58,2024-09-04,2024-09-13,9.0,10,0.0,2024,9,Q3,2024-09,Watchlist Match,,,0,NRO,South,Kochi,5L-10L,Low
ALT0000040,CUS000981,ANL004,Suspected Mule Account,Under Investigation,48.07,3663579.51,2023-04-22,,,10,,2023,4,Q2,2023-04,Rule-Based Engine,,,0,Fixed Deposit,West,Ahmedabad,2L-5L,High
ALT0000041,CUS000629,ANL008,PEP-Related Transaction,True Positive — No STR,18.96,958276.65,2022-06-21,2022-06-24,3.0,10,0.0,2022,6,Q2,2022-06,Peer Comparison Model,,,0,Savings,South,Bengaluru,5L-10L,Low
ALT0000042,CUS001204,ANL014,Round-Tripping,True Positive — No STR,50.67,1803224.37,2023-08-04,2023-08-18,14.0,15,0.0,2023,8,Q3,2023-08,Peer Comparison Model,,,0,NRE,East,Ranchi,<2L,Medium
ALT0000043,CUS000045,ANL020,Unusual Cash Activity,Pending Review,59.11,15998.45,2024-04-16,,,30,,2024,4,Q2,2024-04,Watchlist Match,,,0,Savings,Central,Gwalior,10L-25L,Medium
ALT0000044,CUS000743,ANL014,Round-Tripping,Under Investigation,27.39,59240.52,2023-06-12,,,15,,2023,6,Q2,2023-06,ML Anomaly Model,,,0,Current,Central,Gwalior,5L-10L,Low
ALT0000045,CUS000227,ANL019,Trade-Based Money Laundering,False Positive,65.86,62127.3,2023-01-23,2023-02-07,15.0,30,0.0,2023,1,Q1,2023-01,Peer Comparison Model,,,0,Savings,West,Ahmedabad,<2L,Low
ALT0000046,CUS000213,ANL018,High-Risk Jurisdiction Transfer,False Positive,80.5,80688.43,2022-01-12,2022-02-02,21.0,20,1.0,2022,1,Q1,2022-01,Watchlist Match,Panama,,0,Savings,South,Hyderabad,5L-10L,Low
ALT0000047,CUS000146,ANL020,Unusual Cash Activity,False Positive,58.32,2220849.76,2022-01-15,2022-02-14,30.0,30,0.0,2022,1,Q1,2022-01,Manual Referral,,,0,Savings,West,Mumbai,2L-5L,Low
ALT0000048,CUS000067,ANL019,Shell Company Activity,Under Investigation,32.09,262519.75,2024-12-06,,,30,,2024,12,Q4,2024-12,ML Anomaly Model,,,0,Current,West,Surat,5L-10L,Medium
ALT0000049,CUS000010,ANL011,Shell Company Activity,Pending Review,18.5,464881.17,2022-08-30,,,15,,2022,8,Q3,2022-08,Manual Referral,,,0,Current,North,Lucknow,2L-5L,Low
ALT0000050,CUS000597,ANL009,PEP-Related Transaction,True Positive — STR Filed,68.38,35962.94,2024-11-30,2024-12-10,10.0,15,0.0,2024,11,Q4,2024-11,Peer Comparison Model,,STR-2024-5068,0,NRE,South,Coimbatore,<2L,Medium
ALT0000051,CUS000658,ANL014,Shell Company Activity,Under Investigation,76.67,650987.82,2022-01-15,,,15,,2022,1,Q1,2022-01,Manual Referral,,,0,Savings,Central,Raipur,2L-5L,Low
ALT0000052,CUS001686,ANL004,Shell Company Activity,True Positive — STR Filed,30.91,17290.58,2024-02-08,2024-02-10,2.0,10,0.0,2024,2,Q1,2024-02,ML Anomaly Model,,STR-2024-4617,0,NRO,East,Guwahati,10L-25L,Medium
ALT0000053,CUS000588,ANL009,Suspected Mule Account,False Positive,70.75,2196121.22,2023-02-25,2023-03-07,10.0,15,0.0,2023,2,Q1,2023-02,Rule-Based Engine,,,0,Current,Central,Jabalpur,<2L,High
ALT0000054,CUS000947,ANL016,Trade-Based Money Laundering,False Positive,84.09,2069714.92,2023-10-09,2023-10-15,6.0,20,0.0,2023,10,Q4,2023-10,Peer Comparison Model,,,0,Savings,West,Mumbai,<2L,High
ALT0000055,CUS001412,ANL020,Rapid Fund Movement,True Positive — No STR,64.03,6940.17,2024-04-17,2024-05-12,25.0,30,0.0,2024,4,Q2,2024-04,Watchlist Match,,,0,Savings,West,Surat,5L-10L,Medium
ALT0000056,CUS000470,ANL006,Structuring / Smurfing,True Positive — STR Filed,47.89,23978.29,2024-01-12,2024-01-29,17.0,10,1.0,2024,1,Q1,2024-01,Manual Referral,,STR-2024-1854,0,Overdraft,West,Ahmedabad,10L-25L,Low
ALT0000057,CUS001835,ANL012,High-Risk Jurisdiction Transfer,False Positive,1.58,690173.64,2022-08-07,2022-08-12,5.0,15,0.0,2022,8,Q3,2022-08,Peer Comparison Model,Malta,,0,NRO,South,Chennai,2L-5L,Low
